EmployeeView ID,First Name,Last Name,Email Id,Mobile No,Job Title,Location,Department,Project,Date of Birth,Date of Joining,Manager
TZ0001,Jane,Smith,jane.smith@example.com,9876543210,Marketing Manager,Marketing,John Doe,PJ02,1988-08-25,2024-04-15,Los Angeles
TZ0002,Michael,Johnson,michael.johnson@example.com,4567890123,Financial Analyst,Finance,Michael Johnson,PJ03,1995-03-10,2024-04-15,Chicago
TZ0003,Emily,Brown,emily.brown@example.com,7890123456,Human Resources Specialist,Human Resources,Emily Brown,PJ04,1993-11-05,2024-04-15,Los Angeles
TZ0004,David,Wilson,david@example.com,2345678901,Customer Support Representative,Customer Service,David Wilson,PJ05,1991-07-15,2024-04-15,Houston
TZ0005,Sarah,Lee,sarah@example.com,3456789012,Software Developer,Engineering,Sarah Lee,PJ01,1991-08-12,2024-04-15,New York
TZ0006,James,Williams,james@example.com,5678901234,Marketing Manager,Marketing,John Doe,PJ02,1986-04-30,2024-04-15,Chicago
TZ0007,Olivia,Taylor,olivia@example.com,6789012345,Financial Analyst,Finance,Michael Johnson,PJ03,1993-11-05,2024-04-15,San Francisco
TZ0008,Ethan,Martinez,ethan@example.com,8901234567,Human Resources Specialist,Human Resources,Emily Brown,PJ04,1989-06-22,2024-04-15,Los Angeles
TZ0009,Sophia,Garcia,sophia@example.com,9012345678,Customer Support Representative,Customer Service,David Wilson,PJ05,1994-02-17,2024-04-15,Houston
TZ0010,Adam,Brown,adam@example.com,1234567890,Software Developer,Engineering,Sarah Lee,PJ01,1990-09-18,2024-04-15,New York
TZ0011,Grace,Clark,grace@example.com,9876543210,Marketing Manager,Marketing,John Doe,PJ02,1987-07-25,2024-04-15,Houston
TZ0012,Ryan,Gonzalez,ryan@example.com,4567890123,Financial Analyst,Finance,Michael Johnson,PJ03,1993-11-30,2024-04-15,San Francisco
TZ0013,Emma,Hill,emma@example.com,7890123456,Human Resources Specialist,Human Resources,Emily Brown,PJ04,1985-05-10,2024-04-15,Los Angeles
TZ0014,Liam,Allen,liam@example.com,2345678901,Customer Support Representative,Customer Service,David Wilson,PJ05,1991-03-08,2024-04-15,Houston
TZ0015,Isabella,Thompson,isabella@example.com,6789012345,Software Developer,Engineering,Grace Clark,PJ01,1987-12-10,2024-04-15,Chicago
TZ0016,Mason,Clark,mason@example.com,7890123456,Marketing Manager,Marketing,Grace Clark,PJ02,1991-05-18,2024-04-15,Chicago
TZ0017,Evelyn,Lewis,evelyn@example.com,8901234567,Financial Analyst,Finance,Michael Johnson,PJ03,1989-09-22,2024-04-15,New York
TZ0018,Lucas,Walker,lucas@example.com,9012345678,Human Resources Specialist,Human Resources,Emily Brown,PJ04,1993-02-05,2024-04-15,San Francisco
TZ0019,Harper,Roberts,harper@example.com,0123456789,Customer Support Representative,Customer Service,Grace Clark,PJ05,1990-11-15,2024-04-15,San Francisco
